"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W","Edge1_Jetson@10W","Edge2_RapsberryPi4B"
2025-07-17 15:23:00,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:23:15,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:23:30,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:23:45,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:24:00,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:24:15,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:24:30,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:24:45,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:25:00,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:25:15,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:25:30,0.00532,0.00107,0.00106,0.00112,0.00117
2025-07-17 15:25:45,0.00544,0.00107,0.00106,0.00112,0.00117
