timestamp,function,duration_seconds,payload_size_bytes,response_size_bytes
2025-07-17 14:51:01,register_node,61.3273,503,145
2025-07-17 14:51:19,register_node,2.4489,503,73
2025-07-17 14:52:06,read_data,19.1470,421,41
2025-07-17 14:52:28,read_data,6.8513,421,41
2025-07-17 15:11:19,register_node,61.0756,503,145
2025-07-17 15:11:40,register_node,2.6241,503,73
2025-07-17 15:12:21,read_data,16.3847,421,41
2025-07-17 15:12:48,read_data,6.8362,421,41
2025-07-17 15:41:37,register_node,69.1426,503,145
2025-07-17 15:42:08,register_node,2.6361,503,73
2025-07-17 15:42:46,read_data,17.3385,421,41
2025-07-17 15:43:25,read_data,6.7324,421,41
